ship-01,岛风号,驱逐舰,emp,30,20,100,15,10,50,300,200,1000,Fire,80
ship-02,绫波号,巡洋舰,gunner,50,35,200,25,15,100,500,300,2500,Water,250
ship-03,阳炎号,潜艇,emp,25,15,150,10,20,60,400,250,1500,Poison,150
ship-04,大和号,战列舰,gunner,80,60,500,50,5,200,600,400,5000,Holy Light,550
ship-05,明石号,航空母舰,support,60,50,400,40,8,180,550,350,4500,Shadow,450
ship-06,睦月号,护卫舰,emp,35,25,120,20,12,70,350,220,1200,Energy,70
ship-07,吹雪号,轻型护卫舰,emp,40,30,130,18,14,80,380,230,1300,Fire&Poison,60
ship-08,爱宕号,巡洋舰,gunner,55,40,220,28,17,110,520,320,2700,Energy,260
ship-09,武藏号,战列舰,gunner,100,50,500,300,20,1000,800,300,5000,Fire,600
ship-10,秋津洲号,修理舰,support,20,30,200,100,40,500,300,250,1500,Water,200
ship-11,高雄号,重巡洋舰,gunner,80,60,400,250,25,800,700,280,4500,Poison,320
ship-12,夕立号,驱逐舰,emp,60,40,350,200,30,700,600,270,4000,Shadow,85
ship-13,白雪号,轻巡洋舰,gunner,70,45,380,220,28,750,650,275,4200,Energy,270
ship-14,雪风号,驱逐舰,emp,65,35,340,180,35,680,620,265,3900,Fire,90
ship-15,凉月号,护卫舰,emp,55,25,300,150,38,600,550,260,3500,Holy Light,75
ship-16,千岁号,巡逻艇,emp,40,20,250,120,45,500,450,255,3000,Normal,55
ST-001,红隼号,训练炮舰,gunner,40,15,120,20,12,60,350,0,0,Fire,80
ST-002,海鹦号,训练电子舰,emp,15,25,100,15,20,50,300,0,0,Energy,70
ST-003,白鸽号,训练支援舰,support,10,20,140,25,10,70,250,0,0,Holy Light,150
ST-004,麻雀号,训练侦察舰,gunner,30,10,80,10,30,40,400,0,0,Shadow,60
